timestamp,hour,mq135,mq6,temperature,humidity,intensity,alert_level,fan_tier,aqi_rise_rate
2026-01-01 06:00:00,6,284,127,34.4,72.8,0.59,Critical,2,0.0
2026-01-01 06:00:10,6,198,89,32.7,66.7,0.41,Warning,1,-86.0
2026-01-01 06:00:20,6,227,110,32.6,66.1,0.48,Critical,2,29.0
2026-01-01 06:00:30,6,229,88,31.7,65.5,0.47,Critical,2,2.0
2026-01-01 06:00:40,6,278,136,34.0,67.7,0.62,Critical,2,49.0
2026-01-01 06:00:50,6,300,128,34.3,67.2,0.6,Critical,2,22.0
2026-01-01 06:01:00,6,303,144,34.4,72.4,0.67,Critical,2,3.0
2026-01-01 06:01:10,6,201,92,31.8,69.4,0.43,Critical,2,-102.0
2026-01-01 06:01:20,6,251,106,33.7,65.7,0.53,Critical,2,50.0
2026-01-01 06:01:30,6,204,76,31.2,65.6,0.41,Critical,2,-47.0
2026-01-01 06:01:40,6,234,104,32.5,66.0,0.47,Critical,2,30.0
2026-01-01 06:01:50,6,243,114,33.4,70.9,0.55,Critical,2,9.0
2026-01-01 06:02:00,6,205,77,32.1,64.4,0.41,Critical,2,-38.0
2026-01-01 06:02:10,6,214,106,33.0,68.4,0.46,Critical,2,9.0
2026-01-01 06:02:20,6,269,126,34.3,71.8,0.59,Critical,2,55.0
2026-01-01 06:02:30,6,260,121,33.2,66.7,0.56,Critical,2,-9.0
2026-01-01 06:02:40,6,235,114,32.6,68.7,0.47,Critical,2,-25.0
2026-01-01 06:02:50,6,276,120,34.1,72.5,0.58,Critical,2,41.0
2026-01-01 06:03:00,6,299,151,33.4,72.7,0.64,Critical,2,23.0
2026-01-01 06:03:10,6,199,87,31.9,61.1,0.4,Warning,1,-100.0
2026-01-01 06:03:20,6,296,141,35.4,70.0,0.64,Critical,2,97.0
2026-01-01 06:03:30,6,276,127,34.8,70.9,0.61,Critical,2,-20.0
2026-01-01 06:03:40,6,234,114,33.1,69.5,0.5,Critical,2,-42.0
2026-01-01 06:03:50,6,209,96,32.2,63.2,0.45,Critical,2,-25.0
2026-01-01 06:04:00,6,322,149,35.2,71.7,0.69,Critical,2,113.0
2026-01-01 06:04:10,6,223,106,32.8,65.9,0.5,Critical,2,-99.0
2026-01-01 06:04:20,6,207,98,33.1,66.0,0.43,Critical,2,-16.0
